"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"秒","3年","6級から","9","ビョウ","","秒速（びょうそく）・秒針（びょうしん）・寸秒（すんびょう）","禾","","","未校正",""
"病","3年","6級から","10","ビョウ・ヘイ","や（む）・やまい","病院（びょういん）・病気（びょうき）・看病（かんびょう）・仮病（けびょう）・業病（ごうびょう）","疒","","","未校正",""
"品","3年","6級から","9","ヒン","しな","作品（さくひん）・品物（しなもの）・品種（ひんしゅ）・上品（じょうひん）・手品（てじな）","口","","","未校正",""
"負","3年","6級から","9","フ","ま（ける）・ま（かす）・お（う）","負担（ふたん）・勝負（しょうぶ）・負傷（ふしょう）","貝","","","未校正",""
"部","3年","6級から","11","ブ","","部分（ぶぶん）・全部（ぜんぶ）・本部（ほんぶ）・部隊（ぶたい）・西部（せいぶ）","⻏","邑","","未校正",""
"服","3年","6級から","8","フク","","服装（ふくそう）・洋服（ようふく）・衣服（いふく）・服従（ふくじゅう）・和服（わふく）","月","肉","","未校正",""
"福","3年","6級から","13","フク","","福岡（ふくおか）・幸福（こうふく）・福音（ふくいん）・七福神（しちふくじん）・福岡県（ふくおかけん）","礻","示","","未校正",""
"物","3年","6級から","8","ブツ・モツ","もの","物語（ものがたり）・建物（たてもの）・動物（どうぶつ）・人物（じんぶつ）・物質（ぶっしつ）","牛","","","未校正",""
"平","3年","6級から","5","ヘイ・ビョウ","たいら・ひら","平均（へいきん）・平和（へいわ）・平等（びょうどう）・平日（へいじつ）・公平（こうへい）","","","","未校正",""
"返","3年","6級から","7","ヘン","かえ（す）・かえ（る）","返事（へんじ）・返済（へんさい）・返礼（へんれい）","⻌","辶","","未校正","帰す・帰る"
"勉","3年","6級から","10","ベン","","勉強（べんきょう）・勤勉（きんべん）・勉学（べんがく）","","","","未校正",""
"放","3年","6級から","8","ホウ","はな（す）・はな（つ）・はな（れる）・ほう（る）","放送（ほうそう）・放置（ほうち）・追放（ついほう）","","","","未校正","離す・離れる"
"味","3年","6級から","8","ミ","あじ・あじ（わう）","意味（いみ）・興味（きょうみ）・味覚（みかく）・酸味（さんみ）・後味（あとあじ）","口","","","未校正",""
"命","3年","6級から","8","メイ・ミョウ","いのち","生命（せいめい）・命令（めいれい）・運命（うんめい）・亡命（ぼうめい）","","","","未校正",""
"面","3年","6級から","9","メン","おも・おもて・つら","表面（ひょうめん）・方面（ほうめん）・側面（そくめん）・面積（めんせき）・正面（しょうめん）","面","","","未校正","表"
"問","3年","6級から","11","モン","と（う）・と（い）・とん","問題（もんだい）・質問（しつもん）・疑問（ぎもん）・訪問（ほうもん）・問屋（とんや）","","","","未校正",""
"役","3年","6級から","7","ヤク・エキ","","役所（やくしょ）・役目（やくめ）・役務（えきむ）・兵役（へいえき）・敵役（かたきやく）","彳","","","未校正",""
"薬","3年","6級から","16","ヤク","くすり","薬局（やっきょく）・火薬（かやく）・毒薬（どくやく）・丸薬（がんやく）・劇薬（げきやく）","艹","艸","","未校正",""
"由","3年","6級から","5","ユ・ユウ・ユイ","よし","理由（りゆう）・自由（じゆう）・経由（けいゆ）・由来（ゆらい）・事由（じゆう）","","","","未校正",""
"油","3年","6級から","8","ユ","あぶら","石油（せきゆ）・油田（ゆでん）・油絵（あぶらえ）・揮発油（きはつゆ）・水油（みずあぶら）","氵","水","","未校正","脂"
"有","3年","6級から","6","ユウ・ウ","あ（る）","有名（ゆうめい）・所有（しょゆう）・固有（こゆう）・有無（うむ）・特有（とくゆう）","月","肉","","未校正","在る"
"遊","3年","6級から","12","ユウ・ユ","あそ（ぶ）","遊牧（ゆうぼく）・交遊（こうゆう）・遊説（ゆうぜい）・遊山（ゆさん）","⻌","辶","","未校正",""
"予","3年","6級から","4","ヨ","","予定（よてい）・予算（よさん）・予想（よそう）・予防（よぼう）・予備（よび）","亅","","","未校正",""
"羊","3年","6級から","6","ヨウ","ひつじ","羊毛（ようもう）・牧羊（ぼくよう）・綿羊（めんよう）","羊","","","未校正",""
"洋","3年","6級から","9","ヨウ","","海洋（かいよう）・洋服（ようふく）・洋楽（ようがく）・洋風（ようふう）・洋弓（ようきゅう）","氵","水","","未校正",""
"葉","3年","6級から","12","ヨウ","は","言葉（ことば）・紅葉（もみじ）・枝葉（えだは）・落葉（おちば）・黄葉（もみじ）","艹","艸","","未校正",""
"陽","3年","6級から","12","ヨウ","","太陽（たいよう）・陽光（ようこう）","⻖","阜","","未校正",""
"様","3年","6級から","14","ヨウ","さま","様子（ようす）・模様（もよう）・神様（かみさま）・様式（ようしき）・宮様（みやさま）","木","","","未校正",""
"落","3年","6級から","12","ラク","お（ちる）・お（とす）","集落（しゅうらく）・落語（らくご）・落下（らっか）・段落（だんらく）・村落（そんらく）","艹","艸","","未校正",""
"流","3年","6級から","10","リュウ・ル","なが（れる）・なが（す）","流行（りゅうこう）・流動（りゅうどう）・電流（でんりゅう）・潮流（ちょうりゅう）・下流（かりゅう）","氵","水","","未校正",""
"旅","3年","6級から","10","リョ","たび","旅行（りょこう）・旅館（りょかん）・旅人（たびびと）・旅費（りょひ）・旅客（りょかく）","方","","","未校正",""
"両","3年","6級から","6","リョウ","","両親（りょうしん）・両立（りょうりつ）・千両（せんりょう）","一","","","未校正",""
"緑","3年","6級から","14","リョク・ロク","みどり","緑茶（りょくちゃ）・新緑（しんりょく）・葉緑素（ようりょくそ）・緑青（ろくしょう）","糸","","","未校正",""
"礼","3年","6級から","5","レイ・ライ","","礼拝（れいはい）・無礼（ぶれい）・謝礼（しゃれい）・礼賛（らいさん）・祭礼（さいれい）","礻","示","","未校正",""
"列","3年","6級から","6","レツ","","列車（れっしゃ）・系列（けいれつ）・行列（ぎょうれつ）・列島（れっとう）・並列（へいれつ）","","","","未校正",""
"練","3年","6級から","14","レン","ね（る）","練習（れんしゅう）・訓練（くんれん）・洗練（せんれん）・試練（しれん）・熟練（じゅくれん）","糸","","","未校正",""
"路","3年","6級から","13","ロ","じ","道路（どうろ）・路上（ろじょう）・線路（せんろ）・迷路（めいろ）・家路（いえじ）","足","","","未校正",""
"和","3年","6級から","8","ワ・オ","やわ（らぐ）・やわ（らげる）・なご（む）・なごやか","昭和（しょうわ）・平和（へいわ）・調和（ちょうわ）・和解（わかい）・和服（わふく）","","","","未校正",""
"愛","4年","6級から","13","アイ","","愛情（あいじょう）・愛媛（えひめ）・愛着（あいちゃく）・愛読（あいどく）・愛犬（あいけん）","","","","未校正",""
"案","4年","6級から","10","アン","","提案（ていあん）・案内（あんない）・立案（りつあん）・草案（そうあん）・新案（しんあん）","","","","未校正",""
"以","4年","6級から","5","イ","","以上（いじょう）・以前（いぜん）・以内（いない）・以後（いご）・以東（いとう）","人","","","未校正",""
"衣","4年","6級から","6","イ","ころも","衣装（いしょう）・衣服（いふく）・衣食住（いしょくじゅう）・羽衣（はごろも）・作業衣（さぎょうい）","衣","","","未校正",""
